,TRNUNT,TRNPI1,TRNPQ1,EquipmentID,min_odo,max_odo,odo_change
205,1725,ULSD,25206.759999999984,1725,368006.3,537012.1,169005.8
206,1726,ULSD,22127.48,1726,338570.2,486345.7,147775.5
207,1727,ULSD,16014.790000000003,1727,305912.2,415629.1,109716.89999999997
208,1728,ULSD,23879.969999999994,1728,319669.4,474918.8,155249.39999999997
209,1729,ULSD,22320.82,1729,352824.8,507013.7,154188.90000000002
210,1730,ULSD,24635.709999999995,1730,375429.0,545817.1,170388.09999999998
211,1731,ULSD,21609.589999999982,1731,309695.2,456544.2,146849.0
212,1732,ULSD,24276.53,1732,370881.3,527532.8,156651.50000000006
213,1733,ULSD,21980.13000000001,1733,374004.0,525262.9,151258.90000000002
214,1734,ULSD,24769.179999999993,1734,371945.7,534897.7,162951.99999999994
215,1735,ULSD,19974.369999999995,1735,331956.5,468713.6,136757.09999999998
216,1736,ULSD,22106.779999999995,1736,324954.9,472730.6,147775.69999999995
217,1737,ULSD,19950.399999999994,1737,354644.5,459885.9,105241.40000000002
218,1738,ULSD,21596.54,1738,314518.7,465024.7,150506.0
219,1739,ULSD,20653.93000000001,1739,347455.6,489311.8,141856.2
220,1740,ULSD,16186.050000000016,1740,329486.0,442235.6,112749.59999999998
221,1741,ULSD,20550.300000000014,1741,270931.7,546736.6,275804.89999999997
222,1742,ULSD,14760.150000000003,1742,222477.2,322693.0,100215.79999999999
223,1743,ULSD,20638.37,1743,333325.7,471992.9,138667.2
224,1744,ULSD,19645.799999999996,1744,323872.3,461035.6,137163.3
225,1745,ULSD,18021.580000000005,1745,322685.0,445773.4,123088.40000000002
226,1746,ULSD,16477.49000000001,1746,293777.0,400407.2,106630.20000000001
227,1747,ULSD,22677.65000000001,1747,308600.3,448437.9,139837.60000000003
228,1748,ULSD,21065.680000000008,1748,396913.3,539818.4,142905.10000000003
229,1749,ULSD,19045.339999999993,1749,293954.2,419346.5,125392.29999999999
230,1750,ULSD,21794.010000000002,1750,296631.1,452311.4,155680.30000000005
231,1751,ULSD,20443.910000000003,1751,305402.1,444111.5,138709.40000000002
232,1752,ULSD,23235.260000000002,1752,322383.9,476127.3,153743.39999999997
233,1753,ULSD,20860.960000000003,1753,288433.5,429658.1,141224.59999999998
234,1754,ULSD,19994.98999999999,1754,299588.1,542963.8,243375.70000000007
235,1755,ULSD,23224.73000000001,1755,318618.2,471737.9,153119.7
236,1756,ULSD,15592.420000000004,1756,0.0,408997.0,408997.0
237,1757,ULSD,23112.290000000008,1757,365297.2,521313.4,156016.2
238,1758,ULSD,19766.960000000006,1758,303622.5,435850.6,132228.09999999998
239,1759,ULSD,19302.909999999993,1759,319441.5,456778.7,137337.2
240,1760,ULSD,21438.46999999999,1760,287431.6,432845.0,145413.40000000002
241,1761,ULSD,20270.13,1761,313254.9,451734.0,138479.09999999998
242,1762,ULSD,18910.960000000006,1762,0.0,414901.0,414901.0
243,1763,ULSD,21930.12000000001,1763,297017.2,444901.9,147884.7
244,1764,ULSD,22914.350000000002,1764,317355.0,469829.1,152474.09999999998
245,1765,ULSD,17105.060000000012,1765,285756.7,397636.1,111879.39999999997
246,1766,ULSD,25169.14,1766,73821.8,475846.5,402024.7
247,1767,ULSD,22476.40000000001,1767,314820.0,466904.3,152084.3
248,1768,ULSD,24159.460000000003,1768,300417.4,466588.4,166171.0
249,1769,ULSD,19653.43000000001,1769,268511.4,404269.0,135757.59999999998
250,1770,ULSD,18189.02,1770,305563.7,424600.0,119036.29999999999
251,1771,ULSD,16766.709999999992,1771,0.0,417030.5,417030.5
252,1772,ULSD,25530.05999999997,1772,281135.8,449017.7,167881.90000000002
253,1773,ULSD,20134.70000000001,1773,272669.1,412170.3,139501.2
254,1774,ULSD,20777.91000000001,1774,288736.9,428207.5,139470.59999999998
255,1775,ULSD,18236.69000000001,1775,272608.7,399325.9,126717.20000000001
256,1776,ULSD,21186.71000000001,1776,271055.5,416658.2,145602.7
257,1777,ULSD,22180.959999999992,1777,260900.8,409096.0,148195.2
258,1778,ULSD,23820.030000000017,1778,273697.8,433766.4,160068.60000000003
259,1779,ULSD,22649.11,1779,275055.0,424081.5,149026.5
260,1780,ULSD,21055.969999999994,1780,279595.0,433338.5,153743.5
261,1781,ULSD,22905.21,1781,250681.6,409246.6,158564.99999999997
262,1782,ULSD,20577.95,1782,0.0,375372.0,375372.0
263,1783,ULSD,20592.180000000008,1783,231348.8,378233.9,146885.10000000003
264,1784,ULSD,24159.07999999999,1784,236582.2,400013.5,163431.3
265,1785,ULSD,21589.900000000005,1785,231897.5,386066.2,154168.7
266,1786,ULSD,17628.67,1786,262686.6,384251.2,121564.60000000003
267,1787,ULSD,23504.719999999998,1787,224306.6,384338.5,160031.9
268,1788,ULSD,19019.12,1788,233077.8,360412.7,127334.90000000002
269,1789,ULSD,19155.74999999999,1789,782.2,338901.1,338118.89999999997
270,1790,ULSD,17945.56,1790,184743.2,496805.1,312061.89999999997
271,1791,ULSD,19079.06000000002,1791,201416.4,339948.7,138532.30000000002
272,1792,ULSD,25423.670000000013,1792,241955.1,429997.6,188042.49999999997
273,1793,ULSD,19851.519999999993,1793,206754.0,345972.7,139218.7
274,1794,ULSD,18940.07999999999,1794,189573.2,323163.1,133589.89999999997
275,1795,FUEL,101.48,1795,211987.7,360481.1,148493.39999999997
276,1795,ULSD,20949.069999999996,1795,211987.7,360481.1,148493.39999999997
277,1796,FUEL,167.38,1796,0.0,332592.2,332592.2
278,1796,ULSD,18558.440000000006,1796,0.0,332592.2,332592.2
279,1797,ULSD,19021.110000000004,1797,195816.4,321201.4,125385.00000000003
280,1798,ULSD,20091.610000000004,1798,171444.0,311988.2,140544.2
281,1799,ULSD,19846.96,1799,180427.9,307717.2,127289.30000000002
282,1800,ULSD,20368.78,1800,182751.9,327433.4,144681.50000000003
283,1801,ULSD,17925.529999999995,1801,195002.2,323571.0,128568.79999999999
284,1802,ULSD,21526.890000000014,1802,183026.1,331097.3,148071.19999999998
285,1803,ULSD,18896.659999999996,1803,198446.6,328564.9,130118.30000000002
286,1804,ULSD,20244.630000000016,1804,201071.7,347398.2,146326.5
287,1805,ULSD,17460.100000000017,1805,150561.6,273837.8,123276.19999999998
288,1806,ULSD,18120.97,1806,176088.7,298907.5,122818.79999999999
289,1807,ULSD,20019.329999999998,1807,0.0,318740.6,318740.6
290,1808,ULSD,23127.56999999999,1808,181974.5,343028.2,161053.7
291,1809,ULSD,18876.76000000002,1809,137284.1,273527.9,136243.80000000002
292,1810,ULSD,22964.619999999984,1810,130462.9,283610.8,153147.9
293,1811,ULSD,19097.679999999986,1811,169967.1,303724.4,133757.30000000002
294,1812,ULSD,19905.160000000007,1812,176949.0,316805.5,139856.5
295,1813,ULSD,19011.76000000001,1813,159303.8,292483.5,133179.7
296,1814,ULSD,25074.94,1814,182537.0,356295.4,173758.40000000002
297,1815,ULSD,20139.260000000002,1815,0.0,308270.7,308270.7
298,1816,ULSD,19911.379999999994,1816,169894.8,307491.9,137597.10000000003
299,1817,ULSD,19910.71,1817,117170.5,257977.5,140807.0
300,1818,ULSD,20756.89999999999,1818,168521.3,312152.0,143630.7
301,1819,ULSD,22475.709999999995,1819,186080.7,343851.4,157770.7
302,1820,ULSD,16036.680000000006,1820,171166.8,285987.7,114820.90000000002
303,1821,ULSD,21917.539999999994,1821,143883.6,299906.3,156022.69999999998
304,1822,ULSD,15595.16,1822,89791.4,216049.0,126257.6
305,1823,ULSD,15295.73,1823,0.0,245315.8,245315.8
306,1824,ULSD,22884.000000000007,1824,142407.1,303668.4,161261.30000000002
307,1825,ULSD,22251.74,1825,155663.4,319098.2,163434.80000000002
308,1826,ULSD,20175.640000000007,1826,141371.9,261081.9,119710.0
309,1827,ULSD,15970.540000000006,1827,141835.0,251281.7,109446.70000000001
310,1828,ULSD,23504.41999999999,1828,124518.3,296567.9,172049.60000000003
311,1829,ULSD,22240.87999999999,1829,128830.2,286769.9,157939.7
312,1830,ULSD,24071.339999999993,1830,146598.4,318920.6,172322.19999999998
313,1831,ULSD,19703.63000000001,1831,117775.2,256127.2,138352.0
314,1832,ULSD,17940.290000000005,1832,121650.9,443766.3,322115.4
315,1833,ULSD,20164.57000000001,1833,140428.1,285505.9,145077.80000000002
316,1834,ULSD,19755.91999999999,1834,133306.7,275790.7,142484.0
317,1835,ULSD,20551.32000000002,1835,135630.9,280885.3,145254.4
318,1836,ULSD,22733.170000000016,1836,124807.7,281788.6,156980.89999999997
319,1837,ULSD,19569.660000000003,1837,127060.4,269000.8,141940.4
320,1838,ULSD,20785.85999999999,1838,145574.0,481818.2,336244.2
321,1839,ULSD,16102.510000000002,1839,128881.6,241223.4,112341.79999999999
322,1840,ULSD,19756.69000000001,1840,136283.4,266840.4,130557.00000000003
323,1841,ULSD,16858.28,1841,87754.4,206824.2,119069.80000000002
324,1842,ULSD,20483.65000000001,1842,0.0,261014.3,261014.3
325,1843,ULSD,24954.510000000006,1843,144636.8,317693.9,173057.10000000003
326,1844,ULSD,18897.66000000001,1844,114948.8,248302.7,133353.90000000002
327,1845,ULSD,22921.49000000002,1845,129602.2,291722.2,162120.0
328,1846,ULSD,19438.280000000006,1846,132660.6,269640.1,136979.49999999997
329,1847,ULSD,19736.40000000001,1847,0.0,278209.3,278209.3
330,1848,ULSD,20569.660000000003,1848,0.0,278093.6,278093.6
331,1849,ULSD,20869.330000000024,1849,118354.6,531568.6,413214.0
332,1850,ULSD,21924.590000000015,1850,120341.4,278055.4,157714.00000000003
333,1851,ULSD,22276.670000000002,1851,99270.1,262340.0,163069.9
334,1852,ULSD,25257.500000000004,1852,123456.6,302571.9,179115.30000000002
