,DriverID,Week,TotalFuelUsed,TotalFuelBought,FuelDifference,FuelDifferencePct
81,ADAR,50,385.7,470.3,84.60000000000002,21.93414570910035
82,ADAR,51,387.8,251.01,-136.79000000000002,-35.273336771531724
83,ALBJ,33,499.1,455.99,-43.110000000000014,-8.637547585654183
84,ALBJ,34,502.5,631.5699999999999,129.06999999999994,25.68557213930347
85,ALBJ,35,441.6,329.20000000000005,-112.39999999999998,-25.452898550724633
86,ALBJ,36,406.7,568.03,161.32999999999998,39.66805999508236
87,ALBJ,37,87.8,456.43,368.63,419.8519362186788
88,ALBJ,38,88.3,317.28999999999996,228.98999999999995,259.3318233295583
89,ALBJ,39,262.2,489.19,226.99,86.57131960335622
90,ALBJ,40,514.0,404.38,-109.62,-21.326848249027243
91,ALBJ,41,454.2,602.13,147.93,32.56935270805812
