,TRNUNT,TRNPI1,TRNPQ1,EquipmentID,min_odo,max_odo,mean_odo,min_mean_variance,max_mean_variance,variance_of_variances,odo_change,Count
74,1594,ULSD,12939.99,1594,439.4,589256.8,554870.9642184885,34385.8357815115,554431.5642184885,520045.728436977,588817.4,10307.0
75,1595,ULSD,17548.420000000006,1595,495096.1,600132.4,547428.325325301,52704.07467469899,52332.22532530106,-371.8493493979331,105036.30000000005,14602.0
76,1596,ULSD,18680.99,1596,443.9,597665.6,540216.0211663232,57449.57883367676,539772.1211663232,482322.54233264644,597221.7,12638.0
77,1597,ULSD,17188.870000000003,1597,444.8,616982.4,566692.8311533377,50289.568846662296,566248.0311533377,515958.4623066754,616537.6,14419.0
78,1598,ULSD,15306.520000000006,1598,41187.1,571770.8,528424.1721536953,43346.62784630479,487237.0721536953,443890.4443073905,530583.7000000001,12727.0
79,1599,ULSD,17437.309999999998,1599,453.7,563537.2,509262.0539722815,54275.14602771844,508808.3539722815,454533.20794456307,563083.5,11832.0
80,1600,ULSD,15414.729999999996,1600,435611.4,531120.4,484586.76040685416,46533.63959314587,48975.36040685413,2441.7208137082634,95509.0,12732.0
81,1601,ULSD,16358.050000000001,1601,457.9,634751.2,585892.5849575152,48858.615042484715,585434.6849575152,536576.0699150305,634293.2999999999,12006.0
82,1602,ULSD,16637.279999999995,1602,14.6,553195.8,504874.0064380436,48321.79356195644,504859.40643804363,456537.6128760872,553181.2000000001,16154.0
83,1603,ULSD,16133.160000000009,1603,446.2,600393.8,554462.6858575058,45931.114142494276,554016.4858575058,508085.37171501154,599947.6000000001,11271.0
84,1604,ULSD,16303.299999999994,1604,463.4,604590.3,556007.6780340858,48582.621965914266,555544.2780340858,506961.6560681715,604126.9,12615.0
85,1605,ULSD,19849.680000000008,1605,14.9,579900.2,512604.52146190713,67295.67853809282,512589.6214619071,445293.9429238143,579885.2999999999,13927.0
86,1606,ULSD,17595.820000000014,1606,22.1,602763.9,541495.7298749113,61268.17012508877,541473.6298749113,480205.4597498225,602741.8,17426.0
87,1607,ULSD,15443.030000000002,1607,13.5,637546.1,592190.1320020801,45355.967997919885,592176.6320020801,546820.6640041602,637532.6,15399.0
